  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         130         130   7.69230770E-03   7.69230770E-03   1.79999995       9.99999997E-07   5.00000000       1.00000005E-03   100.000000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
   8.19999874E-02   8.86619091E-07   1.49011612E-07   9.98377800E-07
   8.29999894E-02   8.82893801E-07   1.78813934E-07   9.92789865E-07
   8.39999914E-02   8.86619091E-07   2.38418579E-07   9.89995897E-07
   8.49999934E-02   8.90344381E-07   1.78813934E-07   9.94186848E-07
   8.59999955E-02   8.94069672E-07   1.49011612E-07   9.96980816E-07
   8.69999975E-02   8.90344381E-07   1.78813934E-07   9.98377800E-07
   8.79999995E-02   8.97794962E-07   2.08616257E-07   9.97446477E-07
   8.90000015E-02   8.97794962E-07   1.78813934E-07   9.98610631E-07
   9.00000036E-02   8.94069672E-07   2.08616257E-07   9.94885340E-07
   9.10000056E-02   8.94069672E-07   2.08616257E-07   9.98377800E-07
   9.20000076E-02   8.94069672E-07   2.08616257E-07   9.99541953E-07
   9.30000097E-02   8.90344381E-07   2.08616257E-07   9.96515155E-07
   9.40000117E-02   8.86619091E-07   2.08616257E-07   9.96282324E-07
   9.50000137E-02   8.82893801E-07   2.08616257E-07   9.94419679E-07
   9.60000157E-02   8.82893801E-07   1.78813934E-07   9.95118171E-07
   9.70000178E-02   8.82893801E-07   1.78813934E-07   9.99774784E-07
   9.80000198E-02   8.75443220E-07   2.08616257E-07   9.97446477E-07
   9.90000218E-02   8.71717930E-07   2.08616257E-07   9.99774784E-07
  0.100000024       8.79168510E-07   2.08616257E-07   9.99309123E-07
  0.101000026       8.71717930E-07   1.49011612E-07   9.95118171E-07
  0.102000028       8.67992640E-07   2.08616257E-07   9.97446477E-07
  0.103000030       8.64267349E-07   1.78813934E-07   9.99774784E-07
  0.104000032       8.64267349E-07   2.38418579E-07   9.99309123E-07
  0.105000034       8.64267349E-07   1.78813934E-07   9.97446477E-07
