 title = "post processing tecplot"
 variables = "x", "y", "dxi", "dyi"
 zone t="big zone", i=         182 , j=         130 , datapacking=point
   4.141304     -0.1473624      2.1739006E-02  0.2947247    
   4.163043     -0.1473624      2.1739006E-02  0.2947247    
   4.184783     -0.1473624      2.1739006E-02  0.2947247    
   4.206522     -0.1473624      2.1739006E-02  0.2947247    
   4.228261     -0.1473624      2.1739006E-02  0.2947247    
   4.250000     -0.1473624      2.1739960E-02  0.2947247    
   4.271739     -0.1473624      2.1739006E-02  0.2947247    
   4.293478     -0.1473624      2.1739006E-02  0.2947247    
   4.315217     -0.1473624      2.1739006E-02  0.2947247    
   4.336957     -0.1473624      2.1739006E-02  0.2947247    
   4.358696     -0.1473624      2.1739006E-02  0.2947247    
   4.380435     -0.1473624      2.1739006E-02  0.2947247    
   4.402174     -0.1473624      2.1739006E-02  0.2947247    
   4.423913     -0.1473624      2.1739960E-02  0.2947247    
   4.445652     -0.1473624      2.1739006E-02  0.2947247    
   4.467391     -0.1473624      2.1739006E-02  0.2947247    
   4.489130     -0.1473624      2.1739006E-02  0.2947247    
   4.510870     -0.1473624      2.1739960E-02  0.2947247    
   4.533260     -0.1473624      2.3039818E-02  0.2947247    
   4.556987     -0.1473624      2.4414062E-02  0.2947247    
   4.582126     -0.1473624      2.5863171E-02  0.2947247    
   4.608752     -0.1473624      2.7390003E-02  0.2947247    
   4.636947     -0.1473624      2.8998852E-02  0.2947247    
   4.666792     -0.1473624      3.0693054E-02  0.2947247    
   4.698377     -0.1473624      3.2475948E-02  0.2947247    
   4.731790     -0.1473624      3.4349918E-02  0.2947247    
   4.767124     -0.1473624      3.6318302E-02  0.2947247    
   4.804476     -0.1473624      3.8385868E-02  0.2947247    
   4.843946     -0.1473624      4.0554047E-02  0.2947247    
   4.885636     -0.1473624      4.2826176E-02  0.2947247    
   4.929651     -0.1473624      4.5203686E-02  0.2947247    
   4.976099     -0.1473624      4.7693253E-02  0.2947247    
   5.025093     -0.1473624      5.0292969E-02  0.2947247    
   5.076741     -0.1473624      5.3004742E-02  0.2947247    
   5.131161     -0.1473624      5.5833340E-02  0.2947247    
   5.188466     -0.1473624      5.8776855E-02  0.2947247    
   5.248773     -0.1473624      6.1838150E-02  0.2947247    
   5.312200     -0.1473624      6.5014839E-02  0.2947247    
   5.378860     -0.1473624      6.8306923E-02  0.2947247    
   5.448872     -0.1473624      7.1715832E-02  0.2947247    
   5.522348     -0.1473624      7.5237274E-02  0.2947247    
   5.599401     -0.1473624      7.8866959E-02  0.2947247    
   5.680136     -0.1473624      8.2602978E-02  0.2947247    
   5.764657     -0.1473624      8.6441040E-02  0.2947247    
   5.853065     -0.1473624      9.0373993E-02  0.2947247    
   5.945450     -0.1473624      9.4396114E-02  0.2947247    
   6.041897     -0.1473624      9.8497868E-02  0.2947247    
   6.142481     -0.1473624      0.1026692      0.2947247    
   6.247266     -0.1473624      0.1069007      0.2947247    
   6.356308     -0.1473624      0.1111832      0.2947247    
   6.469648     -0.1473624      0.1154981      0.2947247    
