  Lift and Drag around the body
 
 Time, Drag, Drag Coefficient, Lift, Lift Coefficient
 
   100.4298      0.7324163       1.464833     -0.3319541     -0.6639082    
   100.4348      0.7311645       1.462329     -0.3310689     -0.6621379    
   100.4398      0.7299296       1.459859     -0.3302518     -0.6605036    
   100.4448      0.7284264       1.456853     -0.3293025     -0.6586051    
   100.4498      0.7271543       1.454309     -0.3285412     -0.6570823    
   100.4548      0.7259675       1.451935     -0.3278976     -0.6557952    
   100.4597      0.7248807       1.449761     -0.3273925     -0.6547849    
   100.4647      0.7239498       1.447900     -0.3270570     -0.6541139    
   100.4697      0.7231030       1.446206     -0.3268639     -0.6537277    
   100.4747      0.7223974       1.444795     -0.3268178     -0.6536356    
   100.4797      0.7218380       1.443676     -0.3269003     -0.6538007    
   100.4847      0.7213653       1.442731     -0.3270962     -0.6541924    
   100.4897      0.7210443       1.442089     -0.3273596     -0.6547192    
   100.4947      0.7208176       1.441635     -0.3277086     -0.6554173    
   100.4997      0.7207144       1.441429     -0.3280815     -0.6561630    
   100.5047      0.7207162       1.441432     -0.3284879     -0.6569757    
   100.5097      0.7208099       1.441620     -0.3289023     -0.6578045    
   100.5147      0.7209944       1.441989     -0.3293504     -0.6587007    
   100.5197      0.7212263       1.442453     -0.3297596     -0.6595192    
   100.5247      0.7215009       1.443002     -0.3301552     -0.6603104    
   100.5297      0.7218450       1.443690     -0.3305827     -0.6611655    
   100.5347      0.7223360       1.444672     -0.3311058     -0.6622115    
   100.5397      0.7227784       1.445557     -0.3315201     -0.6630402    
   100.5447      0.7232453       1.446491     -0.3319266     -0.6638532    
   100.5497      0.7237698       1.447540     -0.3323704     -0.6647408    
   100.5547      0.7242803       1.448561     -0.3328139     -0.6656277    
   100.5597      0.7248030       1.449606     -0.3333033     -0.6666066    
   100.5647      0.7252917       1.450583     -0.3338202     -0.6676404    
   100.5697      0.7257444       1.451489     -0.3343832     -0.6687664    
   100.5747      0.7261291       1.452258     -0.3349669     -0.6699338    
   100.5797      0.7264671       1.452934     -0.3355955     -0.6711910    
   100.5847      0.7267680       1.453536     -0.3362809     -0.6725618    
   100.5897      0.7270016       1.454003     -0.3369151     -0.6738302    
   100.5947      0.7272346       1.454469     -0.3376245     -0.6752490    
   100.5997      0.7274503       1.454901     -0.3383073     -0.6766145    
